"";"GENOTYPE";"REPLICATE";"BLOCK";"SENESCENCE";"DATE";"ID"
"3582";"SANKARA";1;3;100;33;185
"3583";"SCOR";1;2;100;33;187
"3584";"SOGOOD";1;2;100;33;193
"3585";"SPONSOR";1;2;100;33;202
"3586";"SY_EPSON";1;1;100;33;206
"3587";"TRAPEZ";1;2;100;33;213
"3588";"ALIZEO";1;2;100;33;13
"3589";"ALLEZ_Y";1;3;100;33;14
"3590";"ARISTOTE";1;3;100;33;28
"3591";"ATTITUDE";1;2;100;33;34
"3592";"ATTLASS";1;3;100;33;35
"3593";"AZZERTI";1;2;100;33;40
"3594";"BAROK";1;4;100;33;42
"3595";"BOISSEAU";1;3;100;33;49
"3596";"BOREGAR";1;3;100;33;52
"3597";"CAMP_REMY";1;2;100;33;54
"3598";"CH_NARA";1;3;100;33;63
"3599";"CHARGER";1;2;100;33;64
"3600";"CHEVALIER";1;2;100;33;65
"3601";"CORDIALE";1;3;100;33;68
"3602";"CROUSTY";1;3;100;33;72
"3603";"DIALOG";1;3;100;33;73
"3604";"DINOSOR";1;3;100;33;74
"3605";"FOLKLOR";1;3;100;33;92
"3606";"INSTINCT";1;4;100;33;118
"3607";"INTERET";1;2;100;33;119
"3608";"MARCELIN";1;3;100;33;138
"3609";"NIRVANA";1;3;100;33;145
"3610";"ORCAS";1;2;100;33;151
"3611";"PAPAGENO";1;2;100;33;158
"3612";"PHARE";1;2;100;33;162
"3613";"PLAYER";1;3;100;33;165
"3614";"RENAN";1;3;100;33;175
"3615";"SEBASTO";1;3;100;33;188
"3616";"SOLUTION";1;2;100;33;199
"3617";"TAPIDOR";1;3;100;33;210
"3618";"TOISONDOR";1;2;90;33;212
"3619";"ODYSSEE";1;3;100;33;149
"3620";"ALDRIC";1;4;100;33;10
"3621";"ALIXAN";1;5;100;33;12
"3622";"AMBELLO";1;4;100;33;19
"3623";"BAGOU";1;4;100;33;41
"3624";"BIANCOR";1;4;100;33;47
"3625";"CAMPERO";1;3;100;33;55
"3626";"CAPHORN";1;3;100;33;56
"3627";"CATALAN";1;5;100;33;57
"3628";"COMPIL";1;4;100;33;67
"3629";"FLUOR";1;3;100;33;91
"3630";"FORBLANC";1;4;100;33;93
"3631";"FRELON";1;3;100;33;94
"3632";"GALACTIC";1;4;100;33;95
"3633";"HEKTO";1;4;100;33;107
"3634";"KARILLON";1;2;100;33;128
"3635";"LORD";1;3;100;33;136
"3636";"LAURIER";1;3;90;33;133
"3637";"MERCATO";1;4;100;33;140
"3638";"NUCLEO";1;4;100;33;147
"3639";"ORATORIO";1;4;100;33;150
"3640";"ORVANTIS";1;3;100;33;153
"3641";"PAKITO";1;3;100;33;156
"3642";"PREVERT";1;3;100;33;169
"3643";"BLINI";1;4;100;33;48
"3644";"RUSTIC";1;4;100;33;182
"3645";"MOSKITO";1;4;100;33;143
"3646";"SOKAL";1;3;100;33;195
"3647";"SORRIAL";1;3;100;33;201
"3648";"SWEET";1;3;100;33;203
"3649";"SWINGGY";1;4;100;33;204
"3650";"SY_MATTIS";1;4;100;33;207
"3651";"FIGARO";1;3;100;33;88
"3652";"ACOUSTIC";1;5;100;33;4
"3653";"ADAGIO";1;5;100;33;5
"3654";"AEROBIC";1;5;90;33;7
"3655";"ALIGATOR";1;4;100;33;11
"3656";"ALTAMIRA";1;6;100;33;15
"3657";"AMADOR";1;4;100;33;18
"3658";"APRILIO";1;5;100;33;25
"3659";"ARAMIS";1;5;100;33;26
"3660";"AREZZO";1;5;100;33;27
"3661";"ARKEOS";1;4;100;33;29
"3662";"ARLEQUIN";1;4;100;33;30
"3663";"ATHLON";1;5;100;33;33
"3664";"AUBUSSON";1;5;100;33;36
"3665";"BASTIDE";1;4;100;33;44
"3666";"BUENNO";1;5;100;33;53
"3667";"SY_MOISSON";1;4;100;33;208
"3668";"CELESTIN";1;5;100;33;59
"3669";"CROISADE";1;5;100;33;71
"3670";"EPIDOC";1;5;100;33;77
"3671";"EUCLIDE";1;4;100;33;80
"3672";"EXELCIOR";1;5;100;33;82
"3673";"FARINELLI";1;5;100;33;87
"3674";"OREGRAIN";1;5;100;33;152
"3675";"CELLULE";1;4;90;33;60
"3676";"FLAMENKO";1;4;100;33;89
"3677";"GALPINO";1;4;100;33;98
"3678";"GONCOURT";1;5;100;33;104
"3679";"GRAINDOR";1;5;100;33;105
"3680";"HISSEO";1;5;100;33;109
"3681";"ILLICO";1;4;100;33;116
"3682";"INNOV";1;5;100;33;117
"3683";"ISENGRAIN";1;4;100;33;121
"3684";"KALANGO";1;6;100;33;126
"3685";"LASER";1;4;100;33;132
"3686";"MH_09.17";1;3;100;33;141
"3687";"MUSIK";1;4;100;33;144
"3688";"ASCOTT";1;4;100;33;32
"3689";"PALEDOR";1;4;100;33;157
"3690";"RUBISKO";1;4;100;33;181
"3691";"SAINT_EX";1;5;100;33;183
"3692";"SCENARIO";1;5;100;33;186
"3693";"SOISSONS";1;5;100;33;194
"3694";"SOLEHIO";1;6;100;33;197
"3695";"SY_ALTEO";1;5;100;33;205
"3696";"TREMIE";1;5;100;33;214
"3697";"TULIP";1;5;100;33;215
"3698";"USKI";1;5;100;33;216
"3699";"VALODOR";1;5;100;33;217
"3700";"ACCOR";1;6;100;33;1
"3701";"ACCROC";1;6;100;33;2
"3702";"ACIENDA";1;5;100;33;3
"3703";"ADHOC";1;6;100;33;6
"3704";"ALTRIA";1;6;100;33;17
"3705";"ANDALOU";1;6;100;33;22
"3706";"AUTAN";1;5;100;33;37
"3707";"AZIMUT";1;6;100;33;39
"3708";"BOLOGNA";1;6;100;33;51
"3709";"CCB_INGENIO";1;6;100;33;58
"3710";"CEZANNE";1;5;100;33;62
"3711";"COURTOT";1;5;100;33;70
"3712";"EUREKA";1;6;100;33;81
"3713";"EXOTIC";1;6;100;33;83
"3714";"GALOPAIN";1;6;100;33;97
"3715";"GARCIA";1;6;100;33;101
"3716";"JAGUAR";1;6;100;33;123
"3717";"MIROIR";1;6;100;33;142
"3718";"ARTDECO";1;6;100;33;31
"3719";"PR22R58";1;6;100;33;167
"3720";"PRIMO";1;6;100;33;170
"3721";"QUALITY";1;6;100;33;171
"3722";"RIMBAUD";1;6;100;33;176
"3723";"ROYSSAC";1;5;100;33;180
"3724";"SIRTAKI";1;5;100;33;191
"3725";"SOBBEL";1;6;100;33;192
"3726";"SOLEDAD";1;6;100;33;196
"3727";"SOLLARIO";1;5;100;33;198
"3728";"BOKARO";1;6;100;33;50
"3729";"ESPERIA";1;6;100;33;79
"3730";"BASMATI";1;4;100;33;43
"3731";"NOGAL";1;6;100;33;146
"3732";"RECITAL";1;6;100;33;174
"3733";"FADELA";1;6;100;33;85
"3734";"ICARDA_1";1;6;100;33;110
"3735";"ICARDA_2";1;6;100;33;111
"3736";"ICARDA_3";1;6;100;33;112
"3737";"ICARDA_4";1;6;100;33;113
"3738";"ICARDA_5";1;6;100;33;114
"3739";"ICARDA_6";1;6;100;33;115
"3740";"AVENUE";1;6;100;33;38
"3741";"APACHE";1;1;100;35;24
"3742";"ALTIGO";1;1;100;35;16
"3743";"BERMUDE";1;1;100;35;46
"3744";"PREMIO";1;1;100;35;168
"3745";"EINSTEIN";1;2;100;35;75
"3746";"CENTENAIRE";1;1;100;35;61
"3747";"KWS_PODIUM";1;2;100;35;131
"3748";"AMBITION";1;1;100;35;20
"3749";"CORVUS";1;1;100;35;69
"3750";"HEREWARD";1;1;100;35;108
"3751";"LEAR";1;1;100;35;134
"3752";"OAKLEY";1;1;100;35;148
"3753";"ALCHEMY";1;1;100;35;9
"3754";"AMUNDSEN";1;1;100;35;21
"3755";"CLAIRE";1;1;100;35;66
"3756";"ESKET";1;1;100;35;78
"3757";"GALVANO";1;2;100;35;99
"3758";"GARANTUS";1;1;100;35;100
"3759";"HAUSSMANN";1;1;100;35;106
"3760";"ISTABRAQ";1;1;100;35;122
"3761";"JB_DIEGO";1;1;100;35;124
"3762";"LIMES";1;1;100;35;135
"3763";"MANAGER";1;1;100;35;137
"3764";"OXEBO";1;1;100;35;154
"3765";"PAJERO";1;2;100;35;155
"3766";"SY_TOLBIAC";1;2;100;35;209
"3767";"PIERROT";1;1;100;35;163
"3768";"PR22R20";1;1;100;35;166
"3769";"RAZZANO";1;1;100;35;173
"3770";"ROBIGUS";1;1;100;35;177
"3771";"ROSARIO";1;1;100;35;179
"3772";"SAMURAI";1;1;100;35;184
"3773";"FAIRPLAY";1;1;100;35;86
"3774";"SELEKT";1;1;100;35;189
"3775";"SEYRAC";1;1;100;35;190
"3776";"SOPHYTRA";1;1;100;35;200
"3777";"TIMING";1;1;100;35;211
"3778";"VISCOUNT";1;1;100;35;218
"3779";"WARRIOR";1;1;100;35;219
"3780";"XI19";1;1;100;35;220
"3781";"ALCAZAR";1;2;100;35;8
"3782";"ANTONIUS";1;2;100;35;23
"3783";"RONSARD";1;3;100;35;178
"3784";"EPHOROS";1;1;100;35;76
"3785";"EXPERT";1;2;100;35;84
"3786";"FLAUBERT";1;2;100;35;90
"3787";"GALLANT";1;3;100;35;96
"3788";"GLADIATOR";1;2;100;35;102
"3789";"GLASGOW";1;2;100;35;103
"3790";"IRIDIUM";1;3;100;35;120
"3791";"KALAHARI";1;2;100;35;125
"3792";"KALYSTAR";1;2;100;35;127
"3793";"KOMETUS";1;1;100;35;129
"3794";"KORELI";1;2;100;35;130
"3795";"MARKSMAN";1;2;100;35;139
"3796";"PARADOR";1;1;100;35;159
"3797";"PEPIDOR";1;2;100;35;160
"3798";"PERFECTOR";1;2;100;35;161
"3799";"PIRENEO";1;2;100;35;164
"3800";"BERGAMO";1;2;100;35;45
"3801";"RACINE";1;1;100;35;172
"3802";"SANKARA";1;3;100;35;185
"3803";"SCOR";1;2;100;35;187
"3804";"SOGOOD";1;2;100;35;193
"3805";"SPONSOR";1;2;100;35;202
"3806";"SY_EPSON";1;1;100;35;206
"3807";"TRAPEZ";1;2;100;35;213
"3808";"ALIZEO";1;2;100;35;13
"3809";"ALLEZ_Y";1;3;100;35;14
"3810";"ARISTOTE";1;3;100;35;28
"3811";"ATTITUDE";1;2;100;35;34
"3812";"ATTLASS";1;3;100;35;35
"3813";"AZZERTI";1;2;100;35;40
"3814";"BAROK";1;4;100;35;42
"3815";"BOISSEAU";1;3;100;35;49
"3816";"BOREGAR";1;3;100;35;52
"3817";"CAMP_REMY";1;2;100;35;54
"3818";"CH_NARA";1;3;100;35;63
"3819";"CHARGER";1;2;100;35;64
"3820";"CHEVALIER";1;2;100;35;65
"3821";"CORDIALE";1;3;100;35;68
"3822";"CROUSTY";1;3;100;35;72
"3823";"DIALOG";1;3;100;35;73
"3824";"DINOSOR";1;3;100;35;74
"3825";"FOLKLOR";1;3;100;35;92
"3826";"INSTINCT";1;4;100;35;118
"3827";"INTERET";1;2;100;35;119
"3828";"MARCELIN";1;3;100;35;138
"3829";"NIRVANA";1;3;100;35;145
"3830";"ORCAS";1;2;100;35;151
"3831";"PAPAGENO";1;2;100;35;158
"3832";"PHARE";1;2;100;35;162
"3833";"PLAYER";1;3;100;35;165
"3834";"RENAN";1;3;100;35;175
"3835";"SEBASTO";1;3;100;35;188
"3836";"SOLUTION";1;2;100;35;199
"3837";"TAPIDOR";1;3;100;35;210
"3838";"TOISONDOR";1;2;100;35;212
"3839";"ODYSSEE";1;3;100;35;149
"3840";"ALDRIC";1;4;100;35;10
"3841";"ALIXAN";1;5;100;35;12
"3842";"AMBELLO";1;4;100;35;19
"3843";"BAGOU";1;4;100;35;41
"3844";"BIANCOR";1;4;100;35;47
"3845";"CAMPERO";1;3;100;35;55
"3846";"CAPHORN";1;3;100;35;56
"3847";"CATALAN";1;5;100;35;57
"3848";"COMPIL";1;4;100;35;67
"3849";"FLUOR";1;3;100;35;91
"3850";"FORBLANC";1;4;100;35;93
"3851";"FRELON";1;3;100;35;94
"3852";"GALACTIC";1;4;100;35;95
"3853";"HEKTO";1;4;100;35;107
"3854";"KARILLON";1;2;100;35;128
"3855";"LORD";1;3;100;35;136
"3856";"LAURIER";1;3;100;35;133
"3857";"MERCATO";1;4;100;35;140
"3858";"NUCLEO";1;4;100;35;147
"3859";"ORATORIO";1;4;100;35;150
"3860";"ORVANTIS";1;3;100;35;153
"3861";"PAKITO";1;3;100;35;156
"3862";"PREVERT";1;3;100;35;169
"3863";"BLINI";1;4;100;35;48
"3864";"RUSTIC";1;4;100;35;182
"3865";"MOSKITO";1;4;100;35;143
"3866";"SOKAL";1;3;100;35;195
"3867";"SORRIAL";1;3;100;35;201
"3868";"SWEET";1;3;100;35;203
"3869";"SWINGGY";1;4;100;35;204
"3870";"SY_MATTIS";1;4;100;35;207
"3871";"FIGARO";1;3;100;35;88
"3872";"ACOUSTIC";1;5;100;35;4
"3873";"ADAGIO";1;5;100;35;5
"3874";"AEROBIC";1;5;90;35;7
"3875";"ALIGATOR";1;4;100;35;11
"3876";"ALTAMIRA";1;6;100;35;15
"3877";"AMADOR";1;4;100;35;18
"3878";"APRILIO";1;5;100;35;25
"3879";"ARAMIS";1;5;100;35;26
"3880";"AREZZO";1;5;100;35;27
"3881";"ARKEOS";1;4;100;35;29
"3882";"ARLEQUIN";1;4;100;35;30
"3883";"ATHLON";1;5;100;35;33
"3884";"AUBUSSON";1;5;100;35;36
"3885";"BASTIDE";1;4;100;35;44
"3886";"BUENNO";1;5;100;35;53
"3887";"SY_MOISSON";1;4;100;35;208
"3888";"CELESTIN";1;5;100;35;59
"3889";"CROISADE";1;5;100;35;71
"3890";"EPIDOC";1;5;100;35;77
"3891";"EUCLIDE";1;4;100;35;80
"3892";"EXELCIOR";1;5;100;35;82
"3893";"FARINELLI";1;5;100;35;87
"3894";"OREGRAIN";1;5;100;35;152
"3895";"CELLULE";1;4;90;35;60
"3896";"FLAMENKO";1;4;100;35;89
"3897";"GALPINO";1;4;100;35;98
"3898";"GONCOURT";1;5;100;35;104
"3899";"GRAINDOR";1;5;100;35;105
"3900";"HISSEO";1;5;100;35;109
"3901";"ILLICO";1;4;100;35;116
"3902";"INNOV";1;5;100;35;117
"3903";"ISENGRAIN";1;4;100;35;121
"3904";"KALANGO";1;6;100;35;126
"3905";"LASER";1;4;100;35;132
"3906";"MH_09.17";1;3;100;35;141
"3907";"MUSIK";1;4;100;35;144
"3908";"ASCOTT";1;4;100;35;32
"3909";"PALEDOR";1;4;100;35;157
"3910";"RUBISKO";1;4;100;35;181
"3911";"SAINT_EX";1;5;100;35;183
"3912";"SCENARIO";1;5;100;35;186
"3913";"SOISSONS";1;5;100;35;194
"3914";"SOLEHIO";1;6;100;35;197
"3915";"SY_ALTEO";1;5;100;35;205
"3916";"TREMIE";1;5;100;35;214
"3917";"TULIP";1;5;100;35;215
"3918";"USKI";1;5;100;35;216
"3919";"VALODOR";1;5;100;35;217
"3920";"ACCOR";1;6;100;35;1
"3921";"ACCROC";1;6;100;35;2
"3922";"ACIENDA";1;5;100;35;3
"3923";"ADHOC";1;6;100;35;6
"3924";"ALTRIA";1;6;100;35;17
"3925";"ANDALOU";1;6;100;35;22
"3926";"AUTAN";1;5;100;35;37
"3927";"AZIMUT";1;6;100;35;39
"3928";"BOLOGNA";1;6;100;35;51
"3929";"CCB_INGENIO";1;6;100;35;58
"3930";"CEZANNE";1;5;100;35;62
"3931";"COURTOT";1;5;100;35;70
"3932";"EUREKA";1;6;100;35;81
"3933";"EXOTIC";1;6;100;35;83
"3934";"GALOPAIN";1;6;100;35;97
"3935";"GARCIA";1;6;100;35;101
"3936";"JAGUAR";1;6;100;35;123
"3937";"MIROIR";1;6;100;35;142
"3938";"ARTDECO";1;6;100;35;31
"3939";"PR22R58";1;6;100;35;167
"3940";"PRIMO";1;6;100;35;170
"3941";"QUALITY";1;6;100;35;171
"3942";"RIMBAUD";1;6;100;35;176
"3943";"ROYSSAC";1;5;100;35;180
"3944";"SIRTAKI";1;5;100;35;191
"3945";"SOBBEL";1;6;100;35;192
"3946";"SOLEDAD";1;6;100;35;196
"3947";"SOLLARIO";1;5;100;35;198
"3948";"BOKARO";1;6;100;35;50
"3949";"ESPERIA";1;6;100;35;79
"3950";"BASMATI";1;4;100;35;43
"3951";"NOGAL";1;6;100;35;146
"3952";"RECITAL";1;6;100;35;174
"3953";"FADELA";1;6;100;35;85
"3954";"ICARDA_1";1;6;100;35;110
"3955";"ICARDA_2";1;6;100;35;111
"3956";"ICARDA_3";1;6;100;35;112
"3957";"ICARDA_4";1;6;100;35;113
"3958";"ICARDA_5";1;6;100;35;114
"3959";"ICARDA_6";1;6;100;35;115
"3960";"AVENUE";1;6;100;35;38
